num_prov;name_prov;latitude;longitude
14;1;Álava/Araba;42.85843000;-2.68150000
3;2;Albacete;38.99700000;-1.85450000
8;3;Alicante;38.34280000;-0.49065000
2;4;Almería;36.83333000;-2.45000000
1;5;Ávila;40.65500000;-4.69772000
5;6;Badajoz;38.88333000;-6.96667000
17;7;Baleares;39.33333000;3.05000000
6;8;Barcelona/BCN;41.38176000;2.16853000
1;9;Burgos;42.34200000;-3.70100000
5;10;Cáceres;39.47377000;-6.37440000
2;11;Cádiz;36.53361000;-6.29944000
8;12;Castellón;39.96667000;-0.25000000
3;13;Ciudad Real;38.98437000;-3.92962000
2;14;Córdoba;37.87952000;-4.78112000
7;15;La Coruña/A coruña;43.36856000;-8.39134000
3;16;Cuenca;40.06667000;-2.13333000
6;17;Gerona/Girona;41.98418000;2.82388000
2;18;Granada;37.18333000;-3.60000000
3;19;Guadalajara;40.63333000;-3.16667000
14;20;Guipúzcoa/Gipuzkoa;43.21667000;-2.01667000
2;21;Huelva;37.25833000;-6.95083000
4;22;Huesca;42.13917000;-0.40815000
2;23;Jaén;37.76667000;-3.78333000
1;24;León;42.60000000;-5.56667000
6;25;Lérida/Lleida;41.61858000;0.63154000
16;26;La Rioja;42.30000000;-1.96667000
7;27;Lugo;43.00000000;-7.56667000
12;28;Madrid;40.42587000;-3.68544000
2;29;Málaga;36.71577000;-4.42382000
9;30;Murcia;37.98218000;-1.12483000
11;31;Navarra;42.80000000;-1.63333000
7;32;Orense/Ourense;42.34379000;-7.86301000
10;33;Asturias;43.55780000;-5.91977000
1;34;Palencia;42.01251000;-4.53238000
13;35;Las Palmas;28.10000000;-15.41667000
7;36;Pontevedra;42.42886000;-8.64243000
1;37;Salamanca;40.95999000;-5.66613000
13;38;Santa Cruz de Tenerife/Tenerife;28.45000000;-16.23333000
15;39;Cantabria;43.40000000;-3.81667000
1;40;Segovia;40.94937000;-4.12129000
2;41;Sevilla;37.38885000;-5.99562000
1;42;Soria;41.76440000;-2.46500000
6;43;Tarragona;41.11586000;1.25828000
4;44;Teruel;40.33412000;-1.10216000
3;45;Toledo;39.85972000;-4.02078000
8;46;Valencia;39.46931000;-0.37871000
1;47;Valladolid;41.65258000;-4.72672000
14;48;Vizcaya/Bizkaia;43.26271000;-2.92528000
1;49;Zamora;41.50382000;-5.74247000
4;50;Zaragoza;41.64815000;-0.88630000
0;51;Ceuta;35.89028000;-5.30750000
0;52;Melilla;35.31667000;-2.95000000
